airline_id,name,iata,icao,active
402,Air Queensland,,AQN,N
403,Aluminum Company Of America,,AQO,N
404,Aviones de Renta de Quintana Roo,,AQT,N
405,AirQuarius Aviation,,AQU,N
406,Aerodyne Charter Company,,AQZ,N
407,Arik Air,W3,ARA,N
408,Avia Air N.V.,,ARB,N
409,Air Routing International Corp.,,ARC,N
410,Aerocondor,2B,ARD,Y
411,Aires,4C,ARE,Y
412,Aerolineas Argentinas,AR,ARG,Y
413,Arrowhead Airways,,ARH,N
414,Aero Vics,,ARI,N
415,Aerojet de Costa Rica,,ARJ,N
416,Antillana De Navegacion Aerea,,SUN,N
417,Aeroservicios De San Luis,,SUO,N
418,Aerosuper,,SUP,N
419,Aero Link Air Services S.L.,,ARK,N
420,Airlec - Air Aquitaine Transport,,ARL,N
421,Aeromarket Express,,ARM,N
422,Arrow Aviation Ltd.,,ARO,N
423,RPA-Aviataxi Ltd.,,ARP,N
424,Air Klaipeda,,KLD,N
425,Armstrong Air,,ARQ,N
426,Air Armenia,QN,ARR,N
427,Aeromet Servicios,,ARS,N
428,Aerotal Aerolineas Territoriales de Colombia Ltda,,ART,N
429,Aravco Ltd.,,ARV,N
430,Aria,,ARW,N
431,Air Xpress,,ARX,N
432,Airline Alania,,OST,N
433,Air Tchad,,HTT,N
434,Aerloineas de Techuacan,,HUC,N
435,Aerotransportes Huitzilin,,HUT,N
436,Aero Transportes Del Humaya,,HUY,N
437,Argosy Airways,,ARY,N
438,Air Resorts,,ARZ,N
439,Alaska Airlines,AS,ASA,Y
440,Air-Spray 1967 Ltd.,,ASB,N
441,Air Star Corporation,,ASC,N
442,Air Sinai,4D,ASD,Y
443,Airstars,PL,ASE,N
444,Air Schefferville,,ASF,N
445,African Star Airways (PTY) Ltd.,,ASG,N
446,Aerosun International,,ASI,N
447,Air Satellite,,ASJ,N
448,Awesome Flight Services (PTY) Ltd.,,ASM,N
449,Air and Sea Transport,,ASN,N
450,Aero Slovakia,,ASO,N
451,Airsprint,,ASP,N
452,Atlantic Southeast Airlines,EV,ASQ,Y
453,All Star Airlines,,ASR,N
454,Air Class,,ASS,N
455,Aerlineas Del Oeste,,AST,N
456,Aviones Are,,NRE,N
457,Air Nepal International,,NPL,N
458,Air Napier,,NPR,N
459,Air Taxi & Cargo,,WAM,N
460,Arrow Panama,,WAP,N
461,Astravia-Bissau Air Transports Ltd.,,ASV,N
462,Astrakhan Airlines,OB,ASZ,Y
463,Air Transport Association,,ATA,N
464,Atlantair Ltd.,,ATB,N
465,Air Tanzania,TC,ATC,Y
466,Aerotours Dominicana,,ATD,N
467,Atlantis Transportation Services,,ATE,N
468,Aerotrans Airline,,ATG,N
469,Air Charter World,,XAC,N
470,Air Burkina,2J,VBW,Y
471,Air Travel Corp.,,ATH,N
472,Aero-Tropics Air Services,HC,ATI,N
473,Air Traffic GmbH,,ATJ,N
474,AeroTACA,,ATK,N
475,Aerocentral,,ATL,N
476,Airlines Of Tasmania,FO,ATM,Y
477,Air Saint Pierre,PJ,SPM,Y
478,Air Transport International,8C,ATN,N
479,ASTRAL Colombia - Aerotransportes Especiales Ltda.,,ATP,N
480,Air Transport Schiphol,,ATQ,N
481,Aeroferinco,,FEO,N
482,Aero Taxis Y Servicios Alfe,,FES,N
483,Avialesookhrana,,FFA,N
484,Africair Service,,FFB,N
485,Atlas Airlines,,ATR,N
486,Air Transport Service,,ATS,N
487,Aer Turas,,ATT,N
488,Atlant Aerobatics Ltd.,,ATU,N
489,Avanti Air,,ATV,N
490,Aero Trades (Western) Ltd.,,ATW,N
491,Austrian Airlines,OS,AUA,Y
492,Air Southwest,,WOW,Y
493,Augsburg Airways,IQ,AUB,Y
494,Air Corporate,,CPV,N
495,Aviastar-Tu,,TUP,N
496,AirBridge Cargo,RU,ABW,N
497,ATUR,,TUR,Y
498,ATESA Aerotaxis Ecuatorianos,,TXU,N
499,Austin Express,,TXX,N
500,Audi Air,,AUD,N
501,Augusta Air Luftfahrtunternehmen,,AUF,N
502,Abu Dhabi Amiri Flight,MO,AUH,Y
503,Aeroflot-Nord,5N,AUL,Y
504,Air Atlantic Uruguay,,AUM,N
505,Aviones Unidos,,AUN,N
506,Avia Business Group,,AUP,N
507,Aero Servicios Expecializados,,SVE,N
508,Aurigny Air Services,GR,AUR,Y
509,Aus-Air,NO,AUS,N
510,Austral Lineas Aereas,AU,AUT,Y
511,Aurora Aviation,,AUU,N
512,Air Uganda International Ltd.,,AUX,N
513,Aerolineas Uruguayas,,AUY,N
514,Australian Airlines,AO,AUZ,N
515,Avianca - Aerovias Nacionales de Colombia,AV,AVA,Y
516,Aviation Beaufort,,AVB,N
517,Alamo Aviacion,,AVD,N
518,Aviair Aviation Ltd.,,AVF,N
519,Air Falcon,,AVG,N
520,AV8 Helicopters,,AVH,N
521,Avia Traffic Company,,AVJ,N
522,AV8 Helicopters,,AVK,N
523,Aviacion Ejecutiva Mexicana,,AVM,N
524,Air Vanuatu,NF,AVN,Y
525,Aviation at Work,,AVO,N
526,Avcorp Registrations,,AVP,N
527,Alfa Aerospace,,LFP,N
528,Atlantic Airfreight Aviation,,LFR,N
529,Aerolift Company,,LFT,N
530,Aviation Services,,AVQ,N
531,Active Aero Charter,,AVR,N
532,Avialsa T-35,,AVS,N
533,Asia Avia Airlines,,AVT,N
534,Avia Sud A,,AVU,N
535,Airvantage Incorporated,,AVV,N
536,Aviator Airways,,AVW,N
537,Aviapaslauga,,AVX,N
538,ASL,,XXX,N
539,Air Yugoslavia,,YRG,N
540,Airlink Zambia,K8,ZAK,N
541,Agence Nationale des Aerodromes et de la Meteorologie,,ZZM,N
542,Airbus Transport International,,BGA,N
543,Air Bangladesh,B9,BGD,Y
